sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 12, 2024 16:54:51

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +xefx_fifo_ctl:efx_fifo_ctl_70ac10c417bf46339876e239e3725f87(MODE="FWFT",WR_DEPTH=32,WADDR_WIDTH=5,RADDR_WIDTH=5,ALMOST_FLAG=0,PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,PROG_EMPTY_NEGATE=2,HANDSHAKE_FLAG=0)	     18(18)	       0(0)	     18(18)	       5(5)	     0(0)	     0(0)	     0(0)	
   +u_8ROW_H_BUF:SYNC_DBUF_16x32_16x32                      	      20(0)	       0(0)	      11(0)	       5(0)	     0(0)	     1(0)	     0(0)	
    +u_efx_fifo_top:efx_fifo_top_70ac10c417bf46339876e239e3725f87_renamed_due_excessive_length_14	      20(0)	       0(0)	      11(0)	       5(0)	     0(0)	     1(0)	     0(0)	
     +genblk2.efx_resetsync_a_rst:efx_resetsync_70ac10c417bf46339876e239e3725f87(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +active_high.efx_resetsync_active_high:efx_asyncreg_70ac10c417bf46339876e239e3725f87(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +xefx_fifo_ram:efx_fifo_ram_70ac10c417bf46339876e239e3725f87(FAMILY="TITANIUM",WR_DEPTH=32,RD_DEPTH=32,WDATA_WIDTH=16,RDATA_WIDTH=16,WADDR_WIDTH=5,RADDR_WIDTH=5,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       2(2)	     0(0)	     1(1)	     0(0)	
     +xefx_fifo_ctl:efx_fifo_ctl_70ac10c417bf46339876e239e3725f87(MODE="FWFT",WR_DEPTH=32,WADDR_WIDTH=5,RADDR_WIDTH=5,ALMOST_FLAG=0,PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,PROG_EMPTY_NEGATE=2,HANDSHAKE_FLAG=0)	     18(18)	       0(0)	     11(11)	       3(3)	     0(0)	     0(0)	     0(0)	
  +u_AXIR_BRAMW:AXIR_BRAMW                                  	   125(125)	       0(0)	     29(29)	     32(32)	     0(0)	     0(0)	     0(0)	
  +u_BRAM_RW_CTL:BRAM_RW_CTL                                	   109(109)	       0(0)	       0(0)	       2(2)	     0(0)	    24(0)	     0(0)	
   +u_BRAM0_0246:BRAM_128x1024_32x4096                      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
    +u_efx_bram:efx_bram_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_15	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
     +genblk1.sdpram_inst:efx_simple_dual_port_ram_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_16	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
      +brams:bram_wrapper_mwm_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_17	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
       +scan_row.row[0].column[0].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_18	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_19	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_20	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_21	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[4].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_22	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[5].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_23	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[6].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_24	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[7].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_25	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[8].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_26	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[9].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_27	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[10].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_28	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[11].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_29	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +u_BRAM1_1357:BRAM_128x1024_32x4096                      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
    +u_efx_bram:efx_bram_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_15	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
     +genblk1.sdpram_inst:efx_simple_dual_port_ram_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_16	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
      +brams:bram_wrapper_mwm_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_17	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    12(0)	     0(0)	
       +scan_row.row[0].column[0].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_18	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_19	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_20	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_21	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[4].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_22	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[5].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_23	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[6].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_24	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[7].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_25	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[8].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_26	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[9].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_27	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[10].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_28	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[11].bram:bram_primitive_4454c84705f94a83848d912ff260a3e7_renamed_due_excessive_length_29	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_HDMI_IMAGE:HDMI_IMAGE                                   	   306(214)	       0(0)	     74(43)	   209(165)	     0(0)	     3(0)	     1(1)	
  +u_R:nearest                                              	       8(8)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +u_G:nearest                                              	       8(8)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +u_B:nearest                                              	       8(8)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +u_OBUF:ASYNC_BBUF_16x1024_16x1024                        	      68(0)	       0(0)	      31(0)	      20(0)	     0(0)	     3(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_c0f2f336ff974fc2938197d36c688ddb_renamed_due_excessive_length_34	      68(0)	       0(0)	      31(0)	      20(0)	     0(0)	     3(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_c0f2f336ff974fc2938197d36c688ddb(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_c0f2f336ff974fc2938197d36c688ddb(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_c0f2f336ff974fc2938197d36c688ddb(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_c0f2f336ff974fc2938197d36c688ddb(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_c0f2f336ff974fc2938197d36c688ddb(FAMILY="TITANIUM",WR_DEPTH=1024,RD_DEPTH=1024,WDATA_WIDTH=24,RDATA_WIDTH=24,WADDR_WIDTH=10,RADDR_WIDTH=10,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     3(3)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_c0f2f336ff974fc2938197d36c688ddb_renamed_due_excessive_length_35	     64(42)	       0(0)	     31(31)	      20(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_c0f2f336ff974fc2938197d36c688ddb(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_c0f2f336ff974fc2938197d36c688ddb(WIDTH=11,ACTIVE_LOW=0)	     22(22)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c0f2f336ff974fc2938197d36c688ddb(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
